time	temp
14/03/2013 00:00	19.3327
14/03/2013 00:15	19.238
14/03/2013 00:30	19.0933
14/03/2013 00:45	18.962
14/03/2013 01:00	18.8533
14/03/2013 01:15	18.7267
14/03/2013 01:30	18.6073
14/03/2013 01:45	18.5007
14/03/2013 02:00	18.36
14/03/2013 02:15	18.2387
14/03/2013 02:30	18.09
14/03/2013 02:45	17.9553
14/03/2013 03:00	17.8333
14/03/2013 03:15	17.7047
14/03/2013 03:30	17.5733
14/03/2013 03:45	17.4713
14/03/2013 04:00	17.3667
14/03/2013 04:15	17.268
14/03/2013 04:30	17.126
14/03/2013 04:45	16.9933
14/03/2013 05:00	16.904
14/03/2013 05:15	16.83
14/03/2013 05:30	16.7333
14/03/2013 05:45	16.61
14/03/2013 06:00	16.504
14/03/2013 06:15	16.3927
14/03/2013 06:30	16.282
14/03/2013 06:45	16.178
14/03/2013 07:00	16.1087
14/03/2013 07:15	16.0233
14/03/2013 07:30	15.99
14/03/2013 07:45	15.96
14/03/2013 08:00	15.97
14/03/2013 08:15	15.9967
14/03/2013 08:30	16.038
14/03/2013 08:45	16.1227
14/03/2013 09:00	16.246
14/03/2013 09:15	16.4007
14/03/2013 09:30	16.6693
14/03/2013 09:45	16.9007
14/03/2013 10:00	17.1213
14/03/2013 10:15	17.3767
14/03/2013 10:30	17.7033
14/03/2013 10:45	18.096
14/03/2013 11:00	18.4513
14/03/2013 11:15	18.76
14/03/2013 11:30	19.122
14/03/2013 11:45	19.546
14/03/2013 12:00	20.0367
14/03/2013 12:15	20.4673
14/03/2013 12:30	20.832
14/03/2013 12:45	21.216
14/03/2013 13:00	21.6253
14/03/2013 13:15	21.8947
14/03/2013 13:30	22.1773
14/03/2013 13:45	22.3373
14/03/2013 14:00	22.4733
14/03/2013 14:15	22.612
14/03/2013 14:30	22.7813
14/03/2013 14:45	22.912
14/03/2013 15:00	22.992
14/03/2013 15:15	23.088
14/03/2013 15:30	23.148
14/03/2013 15:45	23.164
14/03/2013 16:00	23.132
14/03/2013 16:15	23.128
14/03/2013 16:30	23.0627
14/03/2013 16:45	22.996
14/03/2013 17:00	22.9333
14/03/2013 17:15	22.8213
14/03/2013 17:30	22.716
14/03/2013 17:45	22.5893
14/03/2013 18:00	22.484
14/03/2013 18:15	22.3813
14/03/2013 18:30	22.2627
14/03/2013 18:45	22.156
14/03/2013 19:00	22.044
14/03/2013 19:15	21.92
14/03/2013 19:30	21.82
14/03/2013 19:45	21.6973
14/03/2013 20:00	21.5627
14/03/2013 20:15	21.4453
14/03/2013 20:30	21.304
14/03/2013 20:45	21.18
14/03/2013 21:00	21.04
14/03/2013 21:15	20.8987
14/03/2013 21:30	20.7747
14/03/2013 21:45	20.652
14/03/2013 22:00	20.532
14/03/2013 22:15	20.4067
14/03/2013 22:30	20.264
14/03/2013 22:45	20.136
14/03/2013 23:00	20.0227
14/03/2013 23:15	19.866
14/03/2013 23:30	19.7607
14/03/2013 23:45	19.8147
15/03/2013 00:00	19.8147
15/03/2013 00:15	19.7553
15/03/2013 00:30	19.6867
15/03/2013 00:45	19.5833
15/03/2013 01:00	19.482
15/03/2013 01:15	19.3353
15/03/2013 01:30	19.2267
15/03/2013 01:45	19.1367
15/03/2013 02:00	19.05
15/03/2013 02:15	18.9727
15/03/2013 02:30	18.8867
15/03/2013 02:45	18.8027
15/03/2013 03:00	18.7287
15/03/2013 03:15	18.6713
15/03/2013 03:30	18.6047
15/03/2013 03:45	18.5513
15/03/2013 04:00	18.5067
15/03/2013 04:15	18.4533
15/03/2013 04:30	18.4007
